책 제목,하이라이트 구절
Crime and Punishment (AmazonClassics Edition),"Moreover, in order to understand any man one must be deliberate and careful to avoid forming prejudices and mistaken ideas, which are very difficult to correct and get over afterward."
Crime and Punishment (AmazonClassics Edition),"The question whether the disease gives rise to the crime, or whether the crime from its own peculiar nature is always accompanied by something of the nature of disease, he did not yet feel able to decide."
The Arabian Nights (AmazonClassics Edition),"“Whoso meddles in affairs that are no business of his, will hear truths that will not please him.”"
The Arabian Nights (AmazonClassics Edition),The stories in the Fairy Books have generally been such as old women in country places tell to their grandchildren.
Sense and Sensibility (AmazonClassics Edition),"Mamma, the more I know of the world, the more am I convinced that I shall never see a man whom I can really love. I require so much!"
Sense and Sensibility (AmazonClassics Edition),"Elinor agreed to it all, for she did not think he deserved the compliment of rational opposition."
Sense and Sensibility (AmazonClassics Edition),"She knew that what Marianne and her mother conjectured one moment, they believed the next—that with them, to wish was to hope, and to hope was to expect."
War and Peace (AmazonClassics Edition),“Can one be well while suffering morally? Can one be calm in times like these if one has any feeling?”
War and Peace (AmazonClassics Edition),"Influence in society, however, is capital which has to be economized if it is to last."
War and Peace (AmazonClassics Edition),"Even in the best, most friendly and simplest relations of life, praise and commendation are essential, just as grease is necessary to wheels that they may run smoothly."
The Picture of Dorian Gray (AmazonClassics Edition),"But beauty, real beauty, ends where an intellectual expression begins."
The Picture of Dorian Gray (AmazonClassics Edition),"There is a luxury in self-reproach. When we blame ourselves, we feel that no one else has a right to blame us."
The Picture of Dorian Gray (AmazonClassics Edition),"I choose my friends for their good looks, my acquaintances for their good characters, and my enemies for their good intellects."
Moby Dick (AmazonClassics Edition),It is the image of the ungraspable phantom of life; and this is the key to it all.
Moby Dick (AmazonClassics Edition),"In this world, shipmates, sin that pays its way can travel freely and without a passport; whereas Virtue, if a pauper, is stopped at all frontiers."
Moby Dick (AmazonClassics Edition),"And if we obey God, we must disobey ourselves; and it is in this disobeying ourselves, wherein the hardness of obeying God consists."
The Adventures of Tom Sawyer (AmazonClassics Edition),"Often, the less there is to justify a traditional custom, the harder it is to get rid of it."
The Adventures of Tom Sawyer (AmazonClassics Edition),"This picture brought such an agony of pleasurable suffering that he worked it over and over again in his mind and set it up in new and varied lights, till he wore it threadbare."
The Adventures of Tom Sawyer (AmazonClassics Edition),The drowsing murmur of the five and twenty studying scholars soothed the soul like the spell that is in the murmur of bees.
The Odyssey (AmazonClassics Edition),And will Omnipotence neglect to save The suffering virtue of the wise and brave?
The Odyssey (AmazonClassics Edition),"Did fate, or we, when great Atrides died, Urge the bold traitor to the regicide?"
The Odyssey (AmazonClassics Edition),"She seems attentive to their pleaded vows, Her heart detesting what her ear allows."
The Art of War (AmazonClassics Edition),"If you know the enemy and know yourself, you need not fear the result of a hundred battles. If you know yourself but not the enemy, for every victory gained you will also suffer a defeat. If you know neither the enemy nor yourself, you will succumb in every battle."
The Art of War (AmazonClassics Edition),"To secure ourselves against defeat lies in our own hands, but the opportunity of defeating the enemy is provided by the enemy himself."
The Art of War (AmazonClassics Edition),There is no instance of a country having benefited from prolonged warfare.
The Art of War (AmazonClassics Edition),"If your opponent is of choleric temper, seek to irritate him. Pretend to be weak, that he may grow arrogant."
The Phantom of the Opera (AmazonClassics Edition),"None will ever be a true Parisian who has not learned to wear a mask of gaiety over his sorrows and one of sadness, boredom or indifference over his inward joy."
The Phantom of the Opera (AmazonClassics Edition),"He had a heart that could have held the empire of the world; and, in the end, he had to content himself with a cellar."
The Phantom of the Opera (AmazonClassics Edition),"For several months, there had been nothing discussed at the Opera but this ghost in dress-clothes who stalked about the building, from top to bottom, like a shadow, who spoke to nobody, to whom nobody dared speak and who vanished as soon as he was seen, no one knowing how or where."
Hamlet (AmazonClassics Edition),"Give every man thine ear, but few thy voice: Take each man’s censure, but reserve thy judgment."
Hamlet (AmazonClassics Edition),The serpent that did sting thy father’s life 45 Now wears his crown.
Hamlet (AmazonClassics Edition),"There are more things in heaven and earth, Horatio, Than are dreamt of in your philosophy."
Journey to the Center of the Earth (AmazonClassics Edition),"“Science, my lad, has been built upon many errors; but they are errors that it was good to fall into, for they led to the truth.”"
Journey to the Center of the Earth (AmazonClassics Edition),"On the 24th of May, 1863, my uncle, Professor Liedenbrock, rushed into his little house, No. 19 Königstrasse, one of the oldest streets in the oldest portion of the city of Hamburg."
Journey to the Center of the Earth (AmazonClassics Edition),"“Yes, I do; as long as the heart beats, as long as body and soul keep together, I cannot admit that any creature endowed with a will has need to despair of life.”"
Beyond Good and Evil (AmazonClassics Edition),"To recognize untruth as a condition of life; that is certainly to impugn the traditional ideas of value in a dangerous manner, and a philosophy which ventures to do so, has thereby alone placed itself beyond good and evil."
Beyond Good and Evil (AmazonClassics Edition),"In the philosopher, on the contrary, there is absolutely nothing impersonal; and above all, his morality furnishes a decided and decisive testimony as to who he is,—that is to say, in what order the deepest impulses of his nature stand to each other."
Beyond Good and Evil (AmazonClassics Edition),The fundamental belief of metaphysicians is the belief in antitheses of values.
Jane Eyre (AmazonClassics Edition),Life appears to me too short to be spent in nursing animosity or registering wrongs.
Jane Eyre (AmazonClassics Edition),Conventionality is not morality. Self-righteousness is not religion. To attack the first is not to assail the last.
Jane Eyre (AmazonClassics Edition),"“If all the world hated you, and believed you wicked, while your own conscience approved you, and absolved you from guilt, you would not be without friends.”"
Meditations (AmazonClassics Edition),"The Stoics aspired to the repression of all emotion, and the Epicureans to freedom from all disturbance; yet in the upshot the one has become a synonym of stubborn endurance, the other for unbridled licence."
Meditations (AmazonClassics Edition),"The highest good of man is consciously to work with God for the common good, and this is the sense in which the Stoic tried to live in accord with nature. In the individual it is virtue alone which enables him to do this; as Providence rules the universe, so virtue in the soul must rule man."
Meditations (AmazonClassics Edition),"The highest good was the virtuous life. Virtue alone is happiness, and vice is unhappiness."
Meditations (AmazonClassics Edition),"The Stoics regarded speculation as a means to an end; and that end was, as Zeno put it, to live consistently (omologonuenws zhn), or as it was later explained, to live in conformity with nature (oralogoumenwz th fusei zhn)."
The Adventures of Huckleberry Finn (AmazonClassics Edition),"Then she told me all about the bad place, and I said I wished I was there."
The Adventures of Huckleberry Finn (AmazonClassics Edition),"If I never learnt nothing else out of pap, I learnt that the best way to get along with his kind of people is to let them have their own way."
The Adventures of Huckleberry Finn (AmazonClassics Edition),"I liked the old ways best, but I was getting so I liked the new ones, too, a little bit."
Great Expectations (AmazonClassics Edition),"Heaven knows we need never be ashamed of our tears, for they are rain upon the blinding dust of earth, overlying our hard hearts."
Great Expectations (AmazonClassics Edition),"In a word, I was too cowardly to do what I knew to be right, as I had been too cowardly to avoid doing what I knew to be wrong."
Great Expectations (AmazonClassics Edition),"I always treated him as a larger species of child, and as no more than my equal."
Emma (AmazonClassics Edition),"Emma Woodhouse, handsome, clever, and rich, with a comfortable home and happy disposition, seemed to unite some of the best blessings of existence; and had lived nearly twenty-one years in the world with very little to distress or vex her."
Emma (AmazonClassics Edition),"There are people, who the more you do for them, the less they will do for themselves."
Emma (AmazonClassics Edition),"Mr. Knightley, a sensible man about seven or eight-and-thirty, was not only a very old and intimate friend of the family, but particularly connected with it, as the elder brother of Isabella’s husband."
The Lost World (AmazonClassics Edition),Why on earth people who have something to say which is worth hearing should not take the slight trouble to learn how to make it heard is one of the strange mysteries of modern life.
The Lost World (AmazonClassics Edition),"Brain, character, soul—only as one sees more of life does one understand how distinct is each."
The Lost World (AmazonClassics Edition),"There are heroisms all round us waiting to be done. It’s for men to do them, and for women to reserve their love as a reward for such men."
The Lost World (AmazonClassics Edition),"I have wrought my simple plan If I give one hour of joy To the boy who’s half a man, Or the man who’s half a boy."
Treasure Island (AmazonClassics Edition),"“Fifteen men on the dead man’s chest—  Yo-ho-ho, and a bottle of rum!”"
Treasure Island (AmazonClassics Edition),"Sometimes the isle was thick with savages, with whom we fought;, sometimes full of dangerous animals that hunted us; but in all my fancies nothing occurred to me so strange and tragic as our actual adventures."
Treasure Island (AmazonClassics Edition),"“Fifteen men on the dead man’s chest— Yo-ho-ho, and a bottle of rum! Drink and the devil had done for the rest— Yo-ho-ho, and a bottle of rum!”"
The Iliad (AmazonClassics Edition),"The time of two-and-twenty days is taken up in this book; nine during the plague, one in the council and quarrel of the Princes, and twelve for Jupiter’s stay among the Ethiopians, at whose return Thetis prefers her petition. The scene lies in the Grecian camp, then changes to Chrysa, and lastly to Olympus."
The Iliad (AmazonClassics Edition),"Her I release not, till her youth be fled; Within my walls, in Argos, far from home, Her lot is cast, domestic cares to ply, And share a master’s bed. For thee, begone!"
The Iliad (AmazonClassics Edition),"The race of man is as the race of leaves: Of leaves, one generation by the wind Is scattered on the earth; another soon In spring’s luxuriant verdure bursts to light."
The Iliad (AmazonClassics Edition),"“Goddess, I needs must yield to your commands, Indignant though I be—for so ’tis best; Who hears the Gods, of them his pray’rs are heard.”"
The Sun Also Rises (AmazonClassics Edition),“I can’t stand it to think my life is going so fast and I’m not really living it.”
The Sun Also Rises (AmazonClassics Edition),“Don’t you ever get the feeling that all your life is going by and you’re not taking advantage of it? Do you realize you’ve lived nearly half the time you have to live already?”
The Sun Also Rises (AmazonClassics Edition),"It is awfully easy to be hard-boiled about everything in the daytime, but at night it is another thing."
Little Women (AmazonClassics Edition),"Our burdens are here, our road is before us, and the longing for goodness and happiness is the guide that leads us through many troubles and mistakes to the peace which is a true Celestial City."
Little Women (AmazonClassics Edition),"Beth ceased to fear him from that moment, and sat there talking to him as cozily as if she had known him all her life, for love casts out fear, and gratitude can conquer pride."
The Scarlet Letter (AmazonClassics Edition),"It may serve, let us hope, to symbolize some sweet moral blossom, that may be found along the track, or relieve the darkening close of a tale of human frailty and sorrow."
The Scarlet Letter (AmazonClassics Edition),"No man, for any considerable period, can wear one face to himself, and another to the multitude, without finally getting bewildered as to which may be the true."
The Scarlet Letter (AmazonClassics Edition),"The founders of a new colony, whatever Utopia of human virtue and happiness they might originally project, have invariably recognized it among their earliest practical necessities to allot a portion of the virgin soil as a cemetery, and another portion as the site of a prison."
The Adventures of Sherlock Holmes (AmazonClassics Edition),My life is spent in one long effort to escape from the commonplaces of existence.
The Adventures of Sherlock Holmes (AmazonClassics Edition),“You don’t mind breaking the law?” “Not in the least.” “Nor running a chance of arrest?” “Not in a good cause.”
The Adventures of Sherlock Holmes (AmazonClassics Edition),"“There is nothing more deceptive than an obvious fact,” he answered, laughing."
Northanger Abbey (AmazonClassics Edition),Friendship is certainly the finest balm for the pangs of disappointed love.
Northanger Abbey (AmazonClassics Edition),"A woman especially, if she have the misfortune of knowing anything, should conceal it as well as she can."
Northanger Abbey (AmazonClassics Edition),"But when a young lady is to be a heroine, the perverseness of forty surrounding families cannot prevent her. Something must and will happen to throw a hero in her way."
Anne of Green Gables (AmazonClassics Edition),It’s been my experience that you can nearly always enjoy things if you make up your mind firmly that you will.
Anne of Green Gables (AmazonClassics Edition),"For we pay a price for everything we get or take in this world; and although ambitions are well worth having, they are not to be cheaply won, but exact their dues of work and self-denial, anxiety and discouragement."
Anne of Green Gables (AmazonClassics Edition),"It almost seemed to her that those secret, unuttered, critical thoughts had suddenly taken visible and accusing shape and form in the person of this outspoken morsel of neglected humanity."
The Metamorphosis (AmazonClassics Edition),"It was, on the contrary, a requirement of family duty to suppress one’s aversion and to endure—nothing else, just endure."
The Metamorphosis (AmazonClassics Edition),“Why don’t I keep sleeping for a little while longer and forget all this foolishness?”
The Metamorphosis (AmazonClassics Edition),"At the same time, however, he did not forget to keep reminding himself periodically of the fact that calm—indeed the calmest—reflection might be much better than confused decisions."
Mansfield Park (AmazonClassics Edition),"Nobody meant to be unkind, but nobody put themselves out of their way to secure her comfort."
Mansfield Park (AmazonClassics Edition),"The little visitor meanwhile was as unhappy as possible. Afraid of everybody, ashamed of herself, and longing for the home she had left, she knew not how to look up, and could scarcely speak to be heard, or without crying."
Mansfield Park (AmazonClassics Edition),"Edmund, his strong good sense and uprightness of mind, bid most fairly for utility, honour, and happiness to himself and all his connexions. He was to be a clergyman."
The Time Machine (AmazonClassics Edition),"Our mental existences, which are immaterial and have no dimensions, are passing along the Time-Dimension with a uniform velocity from the cradle to the grave."
The Time Machine (AmazonClassics Edition),"There were no hedges, no signs of proprietary rights, no evidences of agriculture; the whole earth had become a garden."
The Time Machine (AmazonClassics Edition),"“It sounds plausible enough to-night,” said the Medical Man; “but wait until to-morrow. Wait for the common sense of the morning.”"
The Great Gatsby (AmazonClassics Edition),"‘All right,’ I said, ‘I’m glad it’s a girl. And I hope she’ll be a fool—that’s the best thing a girl can be in this world, a beautiful little fool.’"
The Great Gatsby (AmazonClassics Edition),"Every one suspects himself of at least one of the cardinal virtues, and this is mine: I am one of the few honest people that I have ever known."
The Great Gatsby (AmazonClassics Edition),“And I like large parties. They’re so intimate. At small parties there isn’t any privacy.”
The Secret Garden (AmazonClassics Edition),One of the strange things about living in the world is that it is only now and then one is quite sure one is going to live forever and ever and ever.
The Secret Garden (AmazonClassics Edition),"She often thought that other people were, but she did not know that she was so herself."
The Secret Garden (AmazonClassics Edition),"At first people refuse to believe that a strange new thing can be done, then they begin to hope it can be done, then they see it can be done—then it is done and all the world wonders why it was not done centuries ago."
The Federalist Papers (AmazonClassics Edition),"For in politics, as in religion, it is equally absurd to aim at making proselytes by fire and sword. Heresies in either can rarely be cured by persecution."
The Federalist Papers (AmazonClassics Edition),"It has been frequently remarked that it seems to have been reserved to the people of this country, by their conduct and example, to decide the important question, whether societies of men are really capable or not of establishing good government from reflection and choice, or whether they are forever destined to depend for their political constitutions on accident and force."
The Federalist Papers (AmazonClassics Edition),"Nothing is more certain than the indispensable necessity of government, and it is equally undeniable, that whenever and however it is instituted, the people must cede to it some of their natural rights in order to vest it with requisite powers."
The Federalist Papers (AmazonClassics Edition),"So numerous indeed and so powerful are the causes which serve to give a false bias to the judgment, that we, upon many occasions, see wise and good men on the wrong as well as on the right side of questions of the first magnitude to society."
Paradise Lost (AmazonClassics Edition),"The mind is its own place, and in itself 255 Can make a Heaven of Hell, a Hell of Heaven."
Paradise Lost (AmazonClassics Edition),"To reign is worth ambition, though in Hell: Better to reign in Hell than serve in Heaven."
Paradise Lost (AmazonClassics Edition),"All is not lost—the unconquerable will, And study of revenge, immortal hate, And courage never to submit or yield: And what is else not to be overcome?"
The Communist Manifesto (AmazonClassics Edition),The history of all hitherto existing society2 is the history of class struggles.
The Communist Manifesto (AmazonClassics Edition),"In this sense, the theory of the Communists may be summed up in the single sentence: Abolition of private property."
The Communist Manifesto (AmazonClassics Edition),The executive of the modern state is but a committee for managing the common affairs of the whole bourgeoisie.
The Invisible Man (AmazonClassics Edition),"Great and strange ideas transcending experience often have less effect upon men and women than smaller, more tangible considerations."
The Invisible Man (AmazonClassics Edition),"I went over the heads of the things a man reckons desirable. No doubt invisibility made it possible to get them, but it made it impossible to enjoy them when they are got."
The Invisible Man (AmazonClassics Edition),"“I can’t go on,” he was raving. “I can’t go on. Three hundred thousand, four hundred thousand! The huge multitude! Cheated! All my life it may take me! . . . Patience! Patience indeed! . . . Fool! fool!”"
The Invisible Man (AmazonClassics Edition),"“Rum-looking customer stopping at the ‘Coach and Horses,’” said Teddy. “My sakes!”"
The Strange Case of Dr. Jekyll and Mr. Hyde (AmazonClassics Edition),"This, as I take it, was because all human beings, as we meet them, are commingled out of good and evil: and Edward Hyde, alone in the ranks of mankind, was pure evil."
The Strange Case of Dr. Jekyll and Mr. Hyde (AmazonClassics Edition),"With every day, and from both sides of my intelligence, the moral and the intellectual, I thus drew steadily nearer to that truth, by whose partial discovery I have been doomed to such a dreadful shipwreck: that man is not truly one, but truly two."
The Strange Case of Dr. Jekyll and Mr. Hyde (AmazonClassics Edition),"“If he be Mr. Hyde,” he had thought, “I shall be Mr. Seek.”"
A Christmas Carol (AmazonClassics Edition),"“Mankind was my business. The common welfare was my business; charity, mercy, forbearance, and benevolence, were, all, my business. The dealings of my trade were but a drop of water in the comprehensive ocean of my business!”"
A Christmas Carol (AmazonClassics Edition),"The misery with them all was, clearly, that they sought to interfere, for good, in human matters, and had lost the power for ever."
A Christmas Carol (AmazonClassics Edition),"Scrooge was his sole executor, his sole administrator, his sole assign, his sole residuary legatee, his sole friend, and sole mourner."
The Idiot (AmazonClassics Edition),"People may consider me a child if they like. I am often called an idiot, and at one time I certainly was so ill that I was nearly as bad as an idiot; but I am not an idiot now—how can I possibly be so when I know myself that I am considered one?"
The Idiot (AmazonClassics Edition),"There is nothing so annoying as to be fairly rich, of a fairly good family, good presence, average education, to be “not stupid,” kind hearted,—and yet to have no talent at all, no originality,—not a single idea of one’s own—to be, in fact, “just like everyone else.”"
The Idiot (AmazonClassics Edition),"We must never forget that human motives are generally far more complicated than we are apt to suppose, and that we can very rarely accurately describe the motives of another."
Oliver Twist (AmazonClassics Edition),"But now that he was enveloped in the old calico robes which had grown yellow in the same service, he was badged and ticketed, and fell into his place at once—a parish child—the orphan of a workhouse—the humble, half-starved drudge—to be cuffed and buffeted through the world—despised by all, and pitied by none."
Oliver Twist (AmazonClassics Edition),"The blessing was from a young child’s lips, but it was the first that Oliver had ever heard invoked upon his head; and through the struggles and sufferings, and troubles and changes, of his after life, he never once forgot it."
Oliver Twist (AmazonClassics Edition),What a novel illustration of the tender laws of England! They let the paupers go to sleep!
Twelve Years a Slave (AmazonClassics Edition),"It is not the fault of the slaveholder that he is cruel, so much as it is the fault of the system under which he lives. He cannot withstand the influence of habit and associations that surround him. Taught from earliest childhood, by all that he sees and hears, that the rod is for the slave’s back, he will not be apt to change his opinions in maturer years."
Twelve Years a Slave (AmazonClassics Edition),"Alas! I had not then learned the measure of “man’s inhumanity to man,” nor to what limitless extent of wickedness he will go for the love of gain."
Twelve Years a Slave (AmazonClassics Edition),"The influences and associations that had always surrounded him, blinded him to the inherent wrong at the bottom of the system of Slavery."
Twelve Years a Slave (AmazonClassics Edition),"The existence of Slavery in its most cruel form among them, has a tendency to brutalize the humane and finer feelings of their nature."
Twenty Thousand Leagues Under the Sea (AmazonClassics Edition),"For some time past vessels had been met by “an enormous thing,” a long object, spindle-shaped, occasionally phosphorescent, and infinitely larger and more rapid in its movements than a whale."
Twenty Thousand Leagues Under the Sea (AmazonClassics Edition),"There remained then only two possible solutions of the question, which created two distinct parties: on one side, those who were for a monster of colossal strength; on the other, those who were for a submarine vessel of enormous motive power."
Twenty Thousand Leagues Under the Sea (AmazonClassics Edition),"“I am not what you call a civilised man! I have done with society entirely, for reasons which I alone have the right of appreciating. I do not, therefore, obey its laws, and I desire you never to allude to them before me again!”"
The Brothers Karamazov (AmazonClassics Edition),"As a general rule, people, even the wicked, are much more naïve and simple-hearted than we suppose. And we ourselves are, too."
The Brothers Karamazov (AmazonClassics Edition),"Above all, don’t lie to yourself. The man who lies to himself and listens to his own lie comes to such a pass that he cannot distinguish the truth within him, or around him, and so loses all respect for himself and for others."
The Brothers Karamazov (AmazonClassics Edition),"The more I love humanity in general, the less I love man in particular."
Notes from the Underground (AmazonClassics Edition),"Now, I am living out my life in my corner, taunting myself with the spiteful and useless consolation that an intelligent man cannot become anything seriously, and it is only the fool who becomes anything."
Notes from the Underground (AmazonClassics Edition),"I swear, gentlemen, that to be too conscious is an illness—a real thorough-going illness."
Notes from the Underground (AmazonClassics Edition),But what can a decent man speak of with most pleasure? Answer: Of himself.
Bushido: The Soul of Japan (AmazonClassics Edition),"Bushido, then, is the code of moral principles which the knights were required or instructed to observe."
Bushido: The Soul of Japan (AmazonClassics Edition),The spiritual aspect of valor is evidenced by composure—calm presence of mind. Tranquility is courage in repose.
Bushido: The Soul of Japan (AmazonClassics Edition),“Rectitude carried to excess hardens into stiffness; Benevolence indulged beyond measure sinks into weakness.”
Heart of Darkness (AmazonClassics Edition),"The conquest of the earth, which mostly means the taking it away from those who have a different complexion or slightly flatter noses than ourselves, is not a pretty thing when you look into it too much."
Heart of Darkness (AmazonClassics Edition),"They were conquerors, and for that you want only brute force—nothing to boast of, when you have it, since your strength is just an accident arising from the weakness of others."
Heart of Darkness (AmazonClassics Edition),"I don’t like work—no man does—but I like what is in the work,—the chance to find yourself. Your own reality—for yourself, not for others—what no other man can ever know. They can only see the mere show, and never can tell what it really means."
The Pursuit of God (AmazonClassics Edition),Complacency is a deadly foe of all spiritual growth. Acute desire must be present or there will be no manifestation of Christ to His people. He waits to be wanted.
The Pursuit of God (AmazonClassics Edition),"Everything is made to center upon the initial act of “accepting” Christ (a term, incidentally, which is not found in the Bible) and we are not expected thereafter to crave any further revelation of God to our souls."
The Pursuit of God (AmazonClassics Edition),"Christ may be “received” without creating any special love for Him in the soul of the receiver. The man is “saved,” but he is not hungry nor thirsty after God. In fact he is specifically taught to be satisfied and encouraged to be content with little."
The Age of Innocence (AmazonClassics Edition),It was one of the great livery-stableman’s most masterly intuitions to have discovered that Americans want to get away from amusement even more quickly than they want to get to it.
The Age of Innocence (AmazonClassics Edition),"Ah, no, he did not want May to have that kind of innocence, the innocence that seals the mind against imagination and the heart against experience!"
The Age of Innocence (AmazonClassics Edition),"He had married (as most young men did) because he had met a perfectly charming girl at the moment when a series of rather aimless sentimental adventures were ending in premature disgust; and she had represented peace, stability, comradeship, and the steadying sense of an unescapable duty."
Journey to the Center of the Earth [Kindle in Motion],"His teaching was as the German philosophy calls it, “subjective”; it was to benefit himself, not others. He was a learned egotist. He was a well of science, and the pulleys worked uneasily when you wanted to draw anything out of it. In a word, he was a learned miser."
Journey to the Center of the Earth [Kindle in Motion],"“Science, my lad, has been built upon many errors; but they are errors that it was good to fall into, for they led to the truth.”"
Journey to the Center of the Earth [Kindle in Motion],"“Yes, I do; as long as the heart beats, as long as body and soul keep together, I cannot admit that any creature endowed with a will has need to despair of life.”"
The Yellow Wallpaper (AmazonClassics Edition),"John does not know how much I really suffer. He knows there is no reason to suffer, and that satisfies him."
The Yellow Wallpaper (AmazonClassics Edition),"He says no one but myself can help me out of it, that I must use my will and self-control and not let my silly fancies run away with me."
The Yellow Wallpaper (AmazonClassics Edition),"It is dull enough to confuse the eye in following, pronounced enough to constantly irritate, and provoke study, and when you follow the lame, uncertain curves for a little distance they suddenly commit suicide—plunge off at outrageous angles, destroy themselves in unheard-of contradictions."
The Wind in the Willows (AmazonClassics Edition),"After all, the best part of a holiday is perhaps not so much to be resting yourself, as to see all the other fellows busy working."
The Wind in the Willows (AmazonClassics Edition),"Never in his life had he seen a river before—this sleek, sinuous, full-bodied animal, chasing and chuckling, gripping things with a gurgle and leaving them with a laugh, to fling itself on fresh playmates that shook themselves free, and were caught and held again."
The Wind in the Willows (AmazonClassics Edition),"But it was good to think he had this to come back to; this place which was all his own, these things which were so glad to see him again and could always be counted upon for the same simple welcome."
Alice's Adventures in Wonderland (AmazonClassics Edition),"In another moment down went Alice after it, never once considering how in the world she was to get out again."
Alice's Adventures in Wonderland (AmazonClassics Edition),"For, you see, so many out-of-the-way things had happened lately, that Alice had begun to think that very few things indeed were really impossible."
Alice's Adventures in Wonderland (AmazonClassics Edition),"“That’s the reason they’re called lessons,” the Gryphon remarked: “because they lessen from day to day.”"
A Tale of Two Cities (AmazonClassics Edition),It was the year of Our Lord one thousand seven hundred and seventy-five.
A Tale of Two Cities (AmazonClassics Edition),"“It is a far, far better thing that I do, than I have ever done; it is a far, far better rest that I go to than I have ever known.”"
A Tale of Two Cities (AmazonClassics Edition),"Death is Nature’s remedy for all things, and why not Legislation’s?"
Around the World in Eighty Days (AmazonClassics Edition),"If to live in this style is to be eccentric, it must be confessed that there is something good in eccentricity."
Around the World in Eighty Days (AmazonClassics Edition),"“I see that it is by no means useless to travel, if a man wants to see something new.”"
Around the World in Eighty Days (AmazonClassics Edition),"“Why, you are a man of heart!” “Sometimes,” replied Phileas Fogg, quietly; “when I have the time.”"
The Autobiography of Benjamin Franklin (AmazonClassics Edition),"So convenient a thing it is to be a reasonable creature, since it enables one to find or make a reason for every thing one has a mind to do."
The Autobiography of Benjamin Franklin (AmazonClassics Edition),HUMILITY. Imitate Jesus and Socrates.
The Autobiography of Benjamin Franklin (AmazonClassics Edition),"“He that has once done you a kindness will be more ready to do you another, than he whom you yourself have obliged.”"
Romeo and Juliet (AmazonClassics Edition),What’s in a name? That which we call a rose By any other name would smell as sweet.
Romeo and Juliet (AmazonClassics Edition),"Did my heart love till now? forswear it, sight! For I ne’er saw true beauty till this night."
Romeo and Juliet (AmazonClassics Edition),"O Romeo, Romeo! wherefore art thou Romeo? Deny thy father and refuse thy name! Or, if thou wilt not, be but sworn my love, And I’ll no longer be a Capulet."
The Prophet (AmazonClassics Edition),And ever has it been that love knows not its own depth until the hour of separation.
The Prophet (AmazonClassics Edition),You give but little when you give of your possessions. It is when you give of yourself that you truly give.
The Prophet (AmazonClassics Edition),"The deeper that sorrow carves into your being, the more joy you can contain."
The Call of the Wild (AmazonClassics Edition),"There is an ecstasy that marks the summit of life, and beyond which life cannot rise. And such is the paradox of living, this ecstasy comes when one is most alive, and it comes as a complete forgetfulness that one is alive."
The Call of the Wild (AmazonClassics Edition),"That club was a revelation. It was his introduction to the reign of primitive law, and he met the introduction halfway. The facts of life took on a fiercer aspect; and while he faced that aspect uncowed, he faced it with all the latent cunning of his nature aroused."
The Call of the Wild (AmazonClassics Edition),"Mercy did not exist in the primordial life. It was misunderstood for fear, and such misunderstandings made for death. Kill or be killed, eat or be eaten, was the law; and this mandate, down out of the depths of Time, he obeyed."
