책 제목,책 소개글
Moby Dick (AmazonClassics Edition),"Ignoring prophecies of doom, the seafarer Ishmael joins the crew of a whaling expedition that is an obsession for the ship’s captain, Ahab. Once maimed by the White Whale, Moby Dick, Ahab has set out on a voyage of revenge. With godlike ferocity, he surges into dangerous waters—immune to the madness of his vision, refusing to be bested by the forces of nature.
An exhilarating whaling yarn, an apocalyptic theodicy, a tragic confessional, and a profound allegory, Moby Dick encompasses all that it means to be human—from the physical and metaphysical to the spiritual and emotional. Full of strange wisdom and wild digressive energy, it’s a singular literary performance universally regarded as one of the great American novels."
The Arabian Nights (AmazonClassics Edition),"The vengeful King Schahriar agrees to stave off the execution of Queen Scheherazade until she finishes a particularly compelling story. Her plan? Bleed one tale into another. Through fanciful histories, romances, tragedies, comedies, poems, riddles, and songs, Scheherazade prolongs her life by holding the king’s rapt attention.
With origins in Persian and Eastern Indian folklore, the stories of The Arabian Nights have been reworked, reshaped, revised, collected, and supplemented throughout the centuries by various authors and scholars—and are continually redefined by the modern translations of the Western world.
AmazonClassics brings you timeless works from the masters of storytelling. Ideal for anyone who wants to read a great work for the first time or rediscover an old favorite, these new editions open the door to literature’s most unforgettable characters and beloved worlds."
The Phantom of the Opera (AmazonClassics Edition),"A phantom has haunted the Paris Opera House for years. Now he is infatuated with singer Christine Daaé. Despite an astonishing debut performance, Christine fails to win the lead in Faust, and the Phantom’s cursed retaliation on the opera house is spectacularly fatal. As the chandelier falls, he kidnaps Christine, and through hidden passages and behind trapdoors, shares his life story with her. To secure her escape, Christine promises to stay true to him forever. But when the Phantom learns of the prima donna’s intention to flee, his passion turns terrifying.
With its complex and victimized antihero, a man at once evil and misjudged, Gaston Leroux’s Grand Guignol has become a fixture of romantic popular culture and the dark absolute of obsessive love.
AmazonClassics brings you timeless works from the masters of storytelling. Ideal for anyone who wants to read a great work for the first time or rediscover an old favorite, these new editions open the door to literature’s most unforgettable characters and beloved worlds."
The Odyssey (AmazonClassics Edition),"After enduring the Trojan War, Odysseus begins the treacherous journey home to Ithaca. On the way, he faces ravenous monsters and vengeful gods. But the real battle awaits, as his kingdom is under siege by unruly suitors vying for his wife’s hand—and his son’s head. To reclaim his throne and save his family, Odysseus must rely on his wits…and help from the unpredictable gods.
Homer’s The Odyssey was composed around 700 BC. It is one of the earliest epics in existence and remains one of the most influential works of literature today."
The Great Gatsby (AmazonClassics Edition),"Four years after the Great War, America is enjoying an economic boom. Enigmatic veteran Jay Gatsby, who’s risen from being nobody from nowhere to self-made millionaire, is along for the ride. Upwardly mobile, he reaches for status among the “old money” on Long Island—and for all that it promises across the bay, namely Daisy, the lost love of his youth, who has been married for five years to Gatsby’s contemptible rival, Tom Buchanan. With all his wealth and charmed aspirations to restore the past, Gatsby is certain he can win her back. But halfway between the skyscrapers of Manhattan and the mansions of West Egg lies the “valley of ashes,” where Gatsby’s glittering world is turned upside down.
The Great Gatsby remains the quintessential embodiment of the reckless idealism of the Jazz Age and the disenchanting search for the American Dream."
The Secret Garden (AmazonClassics Edition),"The orphaned Mary Lennox is sullen, ill tempered, and unloved when she’s sent to live with her uncle, Archibald Craven. A man consumed by grief over the death of his wife, Archibald has allowed his sprawling estate on the moors to fall into grim disrepair. It’s when Mary begins tending to her late aunt’s mysterious garden—locked up and neglected for years—that she discovers its life-changing secrets and a flowering rejuvenation of the human spirit.
Out of this dark, closed-off world and a child’s innate curiosity about life and death comes one of the most transformative coming-of-age novels ever written."
Persuasion (AmazonClassics Edition),"Seven years ago, Anne Elliot broke off her engagement to Captain Frederick Wentworth, convinced that marrying a man without money or status would be a grave mistake. Now, she is past her prime and single at twenty-seven. But when the estranged paramours reconnect through a couple renting the Elliot family estate, Anne discovers she may have another shot at romance—this time, on her terms.
Part fairy tale, part social commentary, Jane Austen’s novel delivers not only her signature warmth and wit but perhaps her most mature and relatable heroine. Persuasion remains true to Austen’s form in being ahead of its time, arguing that where there is love, there is happiness—even in the most impractical of unions.
AmazonClassics brings you timeless works from the masters of storytelling. Ideal for anyone who wants to read a great work for the first time or rediscover an old favorite, these new editions open the door to literature’s most unforgettable characters and beloved worlds."
The Art of War (AmazonClassics Edition),"Long considered the most essential treatise on military strategy and tactics, The Art of War comprises thirteen chapters, each dedicated to a different aspect of warfare. Reaching far beyond the battlefield, it is a manifesto for success in every kind of conflict or competition, having had a notable influence on various subjects such as law, sports, and interpersonal relationships.
In this definitive 1910 Lionel Giles translation, the celebrated sinologist’s interpretive notes and valuable commentary make clear the nuances of Sun Tzu’s language. Most critical, Giles provides the context and culture from which the general’s theories emerged."
Sense and Sensibility (AmazonClassics Edition),"After the death of their father, sisters Elinor and Marianne Dashwood face financial ruin. At the mercy of their half brother, John, and his greedy wife, their only hope is to make a good match. But reduced circumstances make courtship difficult—especially after being turned out of their home. While responsible Elinor takes a practical approach to matters of the heart, Marianne throws herself in unreservedly.
In Jane Austen’s first novel, two of literature’s most iconic characters discover that love demands a balance of passion and pragmatism.
AmazonClassics brings you timeless works from the masters of storytelling. Ideal for anyone who wants to read a great work for the first time or rediscover an old favorite, these new editions open the door to literature’s most unforgettable characters and beloved worlds."
Emma (AmazonClassics Edition),"Charming, rich, and clever, heiress Emma Woodhouse has no need for an occupation—or a husband. Still, she considers herself quite skilled at matchmaking. Although her dear friend Mr. Knightley advises against it, there is nothing that she enjoys more than entangling herself in the romantic lives of others. But when one of her well-intentioned plans goes awry—as Mr. Knightley rightly predicted—Emma must face the consequences of her meddling.
The delightfully imperfect Emma and her Mr. Knightley have captured the hearts of generations of readers. A lively comedy of manners that has been adapted several times for the screen, Emma is the last work Jane Austen lived to see published.
AmazonClassics brings you timeless works from the masters of storytelling. Ideal for anyone who wants to read a great work for the first time or rediscover an old favorite, these new editions open the door to literature’s most unforgettable characters and beloved worlds."
Jane Eyre (AmazonClassics Edition),"The orphaned Jane Eyre has emerged a fiercely independent young woman. As governess at Thornfield Hall, she’s found her first real home—though it stands in the shadow of the estate’s master, Mr. Rochester, and its haunted halls ring with maniacal laughter. For even the grandest houses have secrets.
As much a story about defying convention as it is about coming-of-age, Jane Eyre remains one of the most beloved novels in the English language. Both Gothic and Victorian in its influence and scope, it captures one woman’s determination to live life on her own terms—choosing courage over fear, while finding power in love and compassion."
The Lost World (AmazonClassics Edition),"There’s only one way for Professor George Edward Challenger to prove that dinosaurs still roam the earth. He invites skeptical journalist Edward Malone to accompany him and a group of adventurers to see the creatures with his own eyes. But when they arrive at the fantastic volcanic plateau in the Amazon where time stands still, their expedition quickly becomes one of survival.
With its cliff-hanging escapes, rousing humor, and nailbiting suspense, The Lost World is a pioneering work of fantasy-adventure that paved the way for every thrill ride to follow.
AmazonClassics brings you timeless works from the masters of storytelling. Ideal for anyone who wants to read a great work for the first time or rediscover an old favorite, these new editions open the door to literature’s most unforgettable characters and beloved worlds."
North and South (AmazonClassics Edition),"When a crisis of faith prompts his departure from the Church of England, Margaret Hale’s father moves his family north to bleak, industrial Milton. At first, Margaret is put off by the town’s grit and poverty—a stark contrast to her rural southern hometown. But when she is awakened to the suffering of Milton’s hardworking citizens, she makes it her mission to improve their lives. However, Margaret soon finds herself at odds with the man she is falling in love with—the handsome, bullheaded industrialist John Thornton.
Skillfully told, North and South is not only an illuminating novel of its era but an enchanting love story that is sure to linger in the hearts of readers long after the last page.
AmazonClassics brings you timeless works from the masters of storytelling. Ideal for anyone who wants to read a great work for the first time or rediscover an old favorite, these new editions open the door to literature’s most unforgettable characters and beloved worlds."
Hamlet (AmazonClassics Edition),"When Prince Hamlet returns home to Elsinore Castle for his father’s funeral, he discovers that his uncle Claudius has already crowned himself king. Hamlet begins to suspect something is indeed rotten in the state of Denmark, and a visit from his father’s ghost confirms it. Hamlet vows to avenge his father’s murder, but his consuming obsession yields only crushing grief, overwhelming rage, and a descent into madness.
Resonating with every generation over the centuries, Shakespeare’s profoundly chilling family drama is among the most quoted works from the Shakespearean canon.
AmazonClassics brings you timeless works from the masters of storytelling. Ideal for anyone who wants to read a great work for the first time or rediscover an old favorite, these new editions open the door to literature’s most unforgettable characters and beloved worlds."
The Scarlet Letter (AmazonClassics Edition),"The red letter A on her dress marks young mother Hester Prynne among her Puritan neighbors, who demand to know who fathered her child. Rumors swirl, but the shunned and shamed Hester keeps her secret—and his—for years, until a guilt-ridden confession reveals the truth, with unexpected consequences.
Set in seventeenth-century Massachusetts, Hawthorne’s masterwork was originally subtitled “a romance,” though its themes include the limits of law, the power of religion, and the nature of sin. Equal parts tragic love story and social commentary, The Scarlet Letter brings to life the undying human need to keep secrets."
Meditations (AmazonClassics Edition),"Marcus Aurelius, one of the great rulers of the Roman Empire, sets forth a series of self-reflective essays intended as a guide for his own self-improvement. Written during the turning points of his life and divided into twelve books, Meditations ponders life’s greatest questions in the author’s search for a meaningful existence. Remarkably, they are no different from the questions we ask ourselves today—from finding happiness to understanding our place in the cosmos.
Centuries after Aurelius’s death, Meditations remains a profound source of inspiration for contemporary times—a collection of deeply held principles that are a wellspring for positive thinking and leading a purpose-driven life."
Great Expectations (AmazonClassics Edition),"Raised in squalor in the marsh country of Kent, the orphan Pip is taken under the wing of the eccentric and reclusive Miss Havisham—only to blindly give his heart to the dowager’s beautiful but ice-cold adopted daughter, Estella. Even as a mysterious benefactor helps to shape Pip’s life into one of fortune, success, and self-discovery, the unspeakable secrets of his unrequited love continue to haunt him—and promise to change his life once again.
With its indelible cast of characters, immersive epic narrative, and startling dramatic twists, Charles Dickens’s powerful classic continues to enthrall generations of new readers."
The Iliad (AmazonClassics Edition),"After nine years fighting the Trojan War, the Greeks sense imminent defeat. The gods have cursed them with a plague; the Trojans have set their ships on fire; and their best warrior, the impenetrable Achilles, has turned his back on them. But when the Trojans go too far and kill Patroclus, his beloved brother-in-arms, Achilles returns to the battlefield with a vengeance so terrible that it shocks even the gods.
Written by Homer more than twenty-five hundred years ago, The Iliad is among the oldest extant works of Western literature—the seminal epic narrative of infantry combat, the scars of battle, and the inevitability of fate.
AmazonClassics brings you timeless works from the masters of storytelling. Ideal for anyone who wants to read a great work for the first time or rediscover an old favorite, these new editions open the door to literature’s most unforgettable characters and beloved worlds."
The Prince (AmazonClassics Edition),"Direct and coldly pragmatic, Niccolò Machiavelli’s The Prince is the preeminent guide to winning and maintaining power at the highest levels, where deception and manipulation are necessary tools, and political allies should never be mistaken for friends.
Once a foreign policy official in his native Florence, Machiavelli was ousted by the Medici family. After surviving disgrace and torture at their hands, he penned The Prince to garner their favor. While this effort was ignored, the five-hundred-year-old work endures and is now considered one of the most influential—and controversial—political treatises of all time."
The Time Machine (AmazonClassics Edition),"A scientist and gentleman inventor in industrialized Victorian England claims to have irrefutable proof that time is not simply a concept—it’s a whole other dimension. When he reveals the prototype of a time-traveling machine to his peers, he’s met with skepticism at first…until he returns one week later, disheveled, bloody, and with a fantastic story to tell.
A cornerstone of speculative science fiction, The Time Machine launched the time-traveling genre, influenced generations of writers, and is recognized as a prescient vision of twenty-first-century fears—those of an impending environmental nightmare and the irreversible fate of a dying planet.
AmazonClassics brings you timeless works from the masters of storytelling. Ideal for anyone who wants to read a great work for the first time or rediscover an old favorite, these new editions open the door to literature’s most unforgettable characters and beloved worlds."
Treasure Island (AmazonClassics Edition),"Peg-legged pirates, colorful parrots, and plundered riches—they’re all here in Robert Louis Stevenson’s original seafaring adventure.
When young Jim Hawkins decides to follow a map to buried treasure, he must befriend or outsmart memorable characters such as pirate Long John Silver, captain Billy Bones, and island man Ben Gunn. Mutinous plans, mysterious deaths, and a tangle of double crosses keep Jim guessing all the way to the prize.
Inspired by real-life seafarers, Stevenson captures the adventurous spirit of the times and the imagination of readers, young and old alike."
Madame Bovary (AmazonClassics Edition),"Emma Bovary, daughter of an uneducated farmer and wife of a dull doctor in northern France, harbors a passion for everything beyond her grasp—sophistication, romance, love, and deliverance from her banal provincial life. Motivated by the primal, idealized, and vain, she seeks adventure. And with each new endeavor, Emma sets for herself an inevitable and inescapable trap.
Condemned as an affront to public morals, Madame Bovary’s obscenity trial made it notorious. Today, Emma stands as one of fiction’s most famous figures, and the novel itself, among the most pioneering and influential in world literature.
AmazonClassics brings you timeless works from the masters of storytelling. Ideal for anyone who wants to read a great work for the first time or rediscover an old favorite, these new editions open the door to literature’s most unforgettable characters and beloved worlds."
The Sun Also Rises (AmazonClassics Edition),"In the aftermath of the First World War, Paris offers a liberating waystation for expatriate newspaperman Jake Barnes. Jake is a casualty of the war, and his disillusionment would be complete were it not for his relationship with the fast-living, twice-divorced Englishwoman Brett Ashley. Along with a small collection of other dissolute expats, Jake and Brett travel from the cafés of Paris to the wild fiestas of Pamplona on a desperate quest for fulfillment.
The Sun Also Rises paints a vivid portrait of a generation just beginning to grapple with the emotional and spiritual fallout of war, and it remains one of Ernest Hemingway’s most moving and captivating works."
The Invisible Man (AmazonClassics Edition),"Having devoted his studies to optics and refraction, an impulsive scientist named Griffin has rendered himself invisible. Unable to reverse the effects, his struggle to survive grows desperate until he realizes that there are benefits to living out of the public eye. Increasingly isolated, he soon spirals into a life of crime and degenerates into madness. He can’t see that he has become his own worst enemy.
Exploring the loss of identity and the willful disappearance of conscience and morality, H. G. Wells crafted one of his most suspenseful and cautionary tales, which continues to intrigue to this day.
AmazonClassics brings you timeless works from the masters of storytelling. Ideal for anyone who wants to read a great work for the first time or rediscover an old favorite, these new editions open the door to literature’s most unforgettable characters and beloved worlds."
Journey to the Center of the Earth (AmazonClassics Edition),"A sixteenth-century cryptogram spurs modern geologist Otto Liedenbrock to embark on the most remarkable human quest ever taken. With his nephew and guide, he leads the descent from a dormant Icelandic volcano into the unexplored realm beneath their feet. There, a vast subterranean ocean, prehistoric creatures, and natural phenomena are but a few of the wonders hidden from all but the boldest eyes.
Journey to the Center of the Earth epitomizes the subterranean fiction genre. Author Jules Verne leads readers deep below the world’s surface to the core of his inventive, visionary mind.
AmazonClassics brings you timeless works from the masters of storytelling. Ideal for anyone who wants to read a great work for the first time or rediscover an old favorite, these new editions open the door to literature’s most unforgettable characters and beloved worlds."
Beyond Good and Evil (AmazonClassics Edition),"A caustic criticism of nearly every philosophic predecessor and a challenge of traditionally held views on right and wrong, Friedrich Nietzsche’s Beyond Good and Evil paved the way for modern philosophical thought. Through nearly three hundred transformative aphorisms, Nietzsche presents a worldview in which neither truth nor morality are absolutes, and where good and evil are not opposites but counterparts that stem from the same desires.
Beyond Good and Evil was a foundational text for early twentieth-century thinkers, including philosophers, psychologists, novelists, and playwrights. Today’s readers will delight in Nietzsche’s pithy wit and irony while gaining a deeper understanding of his core ideology.
AmazonClassics brings you timeless works from iconic authors. Ideal for anyone who wants to read a great work for the first time or revisit an old favorite, these new editions open the door to the stories and ideas that have shaped our world."
Mansfield Park (AmazonClassics Edition),"After her impoverished family sends her to live with her wealthy aunt and uncle at opulent Mansfield Park, Fanny Price finds her life forever changed by the aristocratic Bertrams and the city-dwelling Crawford siblings. But is it for the better? While the others seem content to abandon what’s right to further their own interests, Fanny decides to hold true to her heart—a choice that will make or break her future.
Mansfield Park is largely considered to be one of Jane Austen’s most ambitious novels, a darkly satirical glimpse into morality and social mobility within the nineteenth-century British class system.
AmazonClassics brings you timeless works from the masters of storytelling. Ideal for anyone who wants to read a great work for the first time or rediscover an old favorite, these new editions open the door to literature’s most unforgettable characters and beloved worlds."
The Brothers Karamazov (AmazonClassics Edition),"The Karamazov brothers are as different as mind, body, and spirit. Ivan, an atheist and brooding intellectual; Dmitri, a volatile sensualist and his father’s rival for the beautiful Grushenka; and Alexey, driven by unshakeable piety. In their shadow is their rejected half-brother, humiliated into servitude. Together they act to rid themselves of the dissolute Karamazov patriarch. Then, in a single shocking act, the fates of the brothers are inexorably altered.
Delving into debates about God, free will, faith, doubt, and moral responsibility, The Brothers Karamazov is Fyodor Dostoyevsky’s profound pioneering masterpiece of psychological realism."
Northanger Abbey (AmazonClassics Edition),"Seventeen-year-old Catherine Morland excitedly accepts an offer to accompany family friends on a trip to Bath. There, Catherine makes new acquaintances who invite her to Northanger Abbey, and she encounters a world she’d only glimpsed in the pages of her beloved gothic novels. Through Catherine’s eyes, the Abbey is full of mystery, suspense, and adventure; and she is the heroine at the center of it all. As her imagination begins to run wild, she imperils her summer, her new friendships, and her burgeoning relationship with the charming Henry Tilney.
Both a satire of gothic fiction and a coming-of-age story, Northanger Abbey is widely regarded as one of Jane Austen’s most comedic works.
AmazonClassics brings you timeless works from the masters of storytelling. Ideal for anyone who wants to read a great work for the first time or rediscover an old favorite, these new editions open the door to literature’s most unforgettable characters and beloved worlds."
The Adventures of Tom Sawyer (AmazonClassics Edition),"Whether he’s sneaking doughnuts, mooning over a pretty girl, or snookering the local boys to do his work for him, Tom Sawyer is the consummate schemer—but his charm and easygoing nature keep him from being in anyone’s bad graces for long. However, when Tom teams up with his friend Huck Finn, their sleepy Missouri town had better watch out.
Based on Mark Twain’s memories of growing up along the Mississippi River, The Adventures of Tom Sawyer is both an idyllic picture of boyhood and an affectionate satire of adult conventions.
AmazonClassics brings you timeless works from the masters of storytelling. Ideal for anyone who wants to read a great work for the first time or rediscover an old favorite, these new editions open the door to literature’s most unforgettable characters and beloved worlds."
The Federalist Papers (AmazonClassics Edition),"Hailed by Thomas Jefferson as “the best commentary on the principles of government which was ever written,” The Federalist Papers is a collection of eighty-five essays published by Founding Fathers Alexander Hamilton, James Madison, and John Jay from 1787 to 1788, as a means to persuade the public to ratify the Constitution of the United States.
With nearly two-thirds of the essays written by Hamilton, this enduring classic is perfect for modern audiences passionate about his work or seeking a deeper understanding of one of the most important documents in US history.
AmazonClassics brings you timeless works from iconic authors. Ideal for anyone who wants to read a great work for the first time or revisit an old favorite, these new editions open the door to the stories and ideas that have shaped our world."
Oliver Twist (AmazonClassics Edition),"Orphaned at birth to labor in a workhouse, Oliver Twist is barely ten when he flees for London. There he befriends young Jack Dawkins, who educates the innocent Oliver in the ways of survival. When Jack draws Oliver into a gang of juvenile pickpockets, tutored by the unscrupulous Fagin, Oliver’s corruptive influences grow. But for a boy taught only wrong, Oliver must hold on to what he knows is right.
In Oliver Twist, Charles Dickens furiously condemns the realities of nineteenth-century England and rewards those who can escape them still pure at heart.
AmazonClassics brings you timeless works from the masters of storytelling. Ideal for anyone who wants to read a great work for the first time or rediscover an old favorite, these new editions open the door to literature’s most unforgettable characters and beloved worlds."
The Communist Manifesto (AmazonClassics Edition),"With its message of working-class empowerment and call for unity, The Communist Manifesto endures as one of history’s most influential, visionary, and controversial documents. Intending to rouse readers from their indifference, authors Karl Marx and Friedrich Engels demanded the end of proletariat exploitation and called for the overthrow of the oppressive bourgeois ruling class. It was a blueprint for an uncompromising new direction that would serve as the spark for the socialist uprising in the late 1800s.
Today, The Communist Manifesto reverberates fully and fittingly in the polarized political climate of the twenty-first century."
Macbeth (AmazonClassics Edition),"One night on the heath, the brave and respected general Macbeth encounters three witches who foretell that he will become king of Scotland. At first skeptical, he’s urged on by the ruthless, single-minded ambitions of Lady Macbeth, who suffers none of her husband’s doubt. But seeing the prophecy through to the bloody end leads them both spiraling into paranoia, tyranny, madness, and murder.
This shocking tragedy—a violent caution to those seeking power for its own sake—is, to this day, one of Shakespeare’s most popular and influential masterpieces.
AmazonClassics brings you timeless works from the masters of storytelling. Ideal for anyone who wants to read a great work for the first time or rediscover an old favorite, these new editions open the door to literature’s most unforgettable characters and beloved worlds."
Notes from the Underground (AmazonClassics Edition),"Isolated from society in a tenement basement in St. Petersburg, a malicious former civil servant vents his resentments. In the rambling notes that follow, we are exposed to the inner turmoil of the Underground Man, who represents the voice of his generation. An emotional, paranoid knot of contradictions, the spiteful narrator is also desperate to join a society he loathes, if only to prove his superiority to it.
Exploring themes of free will versus determinism, Dostoyevsky’s existential exploration was written to challenge increasingly popular Western egoist philosophies. In the Underground Man, he found the embodiment of the antihero, whose behavior—like all human behavior—defies rationalization.
AmazonClassics brings you timeless works from the masters of storytelling. Ideal for anyone who wants to read a great work for the first time or rediscover an old favorite, these new editions open the door to literature’s most unforgettable characters and beloved worlds."
David Copperfield (AmazonClassics Edition),"After his childhood is turned upside down, orphan David Copperfield is forced to navigate and survive the brutal world of the industrial poor. He’ll cross classes and paths with kindred spirits, extended family, eccentrics, and adversaries. Throughout his journey into adulthood, he’ll be befriended, loved, and conspired against. And each evolving adventure—comic, tragic, and romantic, both at home and abroad—will inform the observant young man’s success as he becomes a novelist.
In his most autobiographical work—the one he considered his “favorite child”—Charles Dickens etched a gallery of indelible characters, including the cruel Murdstone, the recklessly optimistic Micawber, the devious Uriah Heep, and Dora and Agnes, the faithful loves of David’s life. Enduringly popular, David Copperfield is considered by many to be Dickens’s masterpiece."
Paradise Lost (AmazonClassics Edition),"In Paradise, God’s favored new creations—Adam and Eve—live in bliss, untainted by sin. In another realm, Satan and his banished rebel angels collude to destroy God’s tranquil new design. Into this idyll called Earth, and the confidence of Adam and Eve, Satan will instigate the fall of man.
At the heart of this complex, audacious epic poem is a drama driven by the most recognizable human flaws. More than a story from Genesis, it is the extraordinary expression of Milton’s search for personal truth and the meaning of existence, written to “justify the ways of God to men.”
AmazonClassics brings you timeless works from the masters of storytelling. Ideal for anyone who wants to read a great work for the first time or rediscover an old favorite, these new editions open the door to literature’s most unforgettable characters and beloved worlds."
The Wonderful Wizard of Oz (AmazonClassics Edition),"Swept away by a cyclone from the Kansas prairies to the Land of Oz, Dorothy and her dog, Toto, must find their way home. Traveling to the Emerald City with a new band of friends—the Scarecrow, the Tin Woodman, and the Cowardly Lion—Dorothy’s fate is in the hands of a great and terrible wizard. But a wicked enemy stands in her way.
For readers familiar only with the iconic 1939 film, delightful surprises are in store along Baum’s original yellow brick road. Considered “America’s first fairy tale,” The Wonderful Wizard of Oz has found a home in the collective imagination of the entire world."
